par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
9.95130259e-04	3.90459833e-01	4.41121603e-04	6.30065886e-01	3.26215010e-04	2.90603090e-04	6.60664190e-01	1.55513777e-04	3.12103490e-03	5.38844157e+01	3.47446910e+00	4.57853895e-04	6.17838072e-02	1.05944448e-04	3.56355211e-03	9.62000670e-03	1.22802328e-02	9.93414543e-03	7.11303442e-03	4.53294456e+02	1.67844724e+01	8.64539458e+01	7.07118324e-01	2.14422870e+00	2.65067602e+00	4.48654880e-01	9.18163829e+05	4.29644721e+02	1.16028594e+00	2.87388345e+00	7.80601565e-01	7.84712986e-01	4.58292688e+04	9.02689798e+01	3.95295678e+04	2.73673007e+04	2.59278059e-02	1.52296965e-03	1.46095979e-01	1.13570613e-02	1.74006704e+01	4.90891757e-01	2.09573589e+00	1.09774830e-01	6.72887507e+00	6.09338333e-01	6.57056766e+01	1.61127780e+01	1.02995695e+02	3.77274013e+01	5.15967848e+01	2.94197485e+00	5.63024704e-01
9.95130259e-04	3.90459833e-01	4.41121603e-04	6.15385359e-01	3.26215010e-04	2.67525339e-04	6.79510901e-01	1.55513777e-04	3.66209997e-03	5.39026354e+01	3.47446910e+00	3.41935833e-04	6.17838072e-02	1.21498683e-04	3.34494886e-03	9.62000670e-03	2.05539021e-02	9.75995695e-03	7.11303442e-03	4.53294456e+02	1.67844724e+01	8.64539458e+01	4.37142419e-01	2.23998668e+00	2.65067602e+00	4.48654880e-01	8.45594349e+05	3.37015699e+02	1.16028594e+00	2.40609510e+00	7.80601565e-01	7.84712986e-01	3.94417729e+04	9.02689798e+01	3.95295678e+04	3.16670028e+04	2.59278059e-02	1.69803593e-03	1.94091756e-01	1.13570613e-02	1.78952740e+01	7.98429948e-01	1.67977065e+00	1.06627654e-01	6.72887507e+00	6.16599032e-01	6.57056766e+01	1.61127780e+01	8.22015487e+01	3.77274013e+01	5.15967848e+01	2.81472134e+00	6.10184841e-01
1.03448164e-03	3.88514073e-01	4.32464013e-04	5.87565654e-01	3.11224495e-04	2.67525339e-04	8.04800025e-01	1.43969846e-04	3.50124080e-03	5.02660635e+01	3.47446910e+00	4.19837586e-04	5.43566906e-02	1.21498683e-04	3.34494886e-03	6.06917117e-03	2.05539021e-02	9.37735446e-03	8.78958130e-03	4.53294456e+02	1.28654510e+01	9.18844567e+01	4.37142419e-01	2.22074887e+00	2.65067602e+00	5.48548760e-01	8.45594349e+05	2.51919709e+02	2.01646335e+00	2.34047471e+00	8.04296902e-01	1.10677846e+00	4.87433183e+04	9.02689798e+01	4.62571305e+04	3.16670028e+04	2.90618077e-02	1.67040243e-03	2.95731026e-01	1.58014293e-02	7.09779208e+00	6.02369702e-01	3.00501650e+00	1.16894392e-01	2.16590563e+00	6.16599032e-01	2.76682296e+01	2.13941481e+01	1.16301203e+02	3.77274013e+01	5.04376659e+01	2.84719346e+00	5.63090241e-01
1.03448164e-03	3.53670747e-01	4.19737350e-04	5.87565654e-01	3.11224495e-04	2.67525339e-04	6.54780444e-01	1.29619400e-04	3.07621345e-03	5.35186910e+01	3.02656393e+00	3.03171880e-04	4.63992294e-02	1.22688323e-04	3.50769680e-03	9.41935497e-03	1.65873800e-02	9.37735446e-03	8.78958130e-03	8.96856553e+02	1.60399890e+01	9.54168999e+01	6.21989413e-01	2.20350916e+00	2.26417564e+00	3.81817620e-01	8.45594349e+05	2.51919709e+02	2.01646335e+00	2.34047471e+00	9.01499855e-01	1.10677846e+00	4.87433183e+04	8.34021947e+01	4.43719080e+04	3.16670028e+04	2.90618077e-02	1.76115974e-03	1.99245798e-01	1.44471956e-02	1.04937209e+01	4.61369216e-01	3.04180796e+00	1.16894392e-01	3.22187313e+00	6.16599032e-01	2.76682296e+01	2.13941481e+01	1.00097464e+02	2.88077131e+01	5.04376659e+01	2.84719346e+00	4.86492583e-01
1.03448164e-03	3.70442979e-01	4.19737350e-04	5.78589565e-01	3.11224495e-04	1.91747807e-04	5.74691935e-01	1.29619400e-04	3.07621345e-03	5.35186910e+01	3.02656393e+00	4.00604884e-04	4.63286134e-02	1.15625284e-04	3.23647748e-03	9.41935497e-03	1.82341383e-02	9.93197049e-03	8.66181450e-03	7.90064603e+02	1.60399890e+01	9.80667590e+01	6.21989413e-01	2.24213323e+00	2.22027107e+00	2.94351862e-01	8.54847566e+05	2.48899314e+02	2.05434048e+00	2.19106209e+00	9.01499855e-01	9.66504308e-01	2.80739983e+04	8.34021947e+01	4.43719080e+04	2.59605630e+04	1.80325390e-02	1.76115974e-03	4.47715439e-01	8.80240422e-03	9.65773389e+00	4.95960970e-01	2.80588710e+00	1.16894392e-01	3.22187313e+00	3.84167351e-01	2.76682296e+01	2.13941481e+01	1.26402069e+02	2.88077131e+01	5.04376659e+01	2.89766588e+00	5.70509668e-01
1.04684062e-03	3.73959742e-01	4.19737350e-04	5.78589565e-01	3.14560308e-04	1.91747807e-04	5.46431364e-01	1.29619400e-04	2.21140935e-03	5.26462400e+01	3.02656393e+00	4.53280901e-04	4.57884115e-02	1.15625284e-04	3.23647748e-03	7.40268173e-03	1.36825702e-02	9.36684301e-03	9.32375431e-03	8.90179123e+02	8.58970263e+00	9.80667590e+01	6.99726938e-01	2.22361313e+00	2.53269551e+00	2.94351862e-01	8.54847566e+05	2.67708809e+02	2.22740638e+00	2.19106209e+00	9.01499855e-01	1.47500247e+00	9.75526806e+04	8.34021947e+01	4.61253041e+04	2.59605630e+04	1.80325390e-02	1.76115974e-03	4.27404719e-01	1.43262304e-02	9.65773389e+00	4.95960970e-01	2.27512304e+00	7.54488156e-02	3.22187313e+00	3.84167351e-01	3.47630994e+01	2.17172082e+01	1.34004267e+02	2.88077131e+01	5.04376659e+01	2.89766588e+00	5.94916753e-01
1.12160628e-03	3.73959742e-01	4.19737350e-04	5.86455412e-01	3.14560308e-04	2.08120791e-04	5.46431364e-01	1.29619355e-04	2.22621658e-03	5.01794867e+01	3.02656393e+00	4.53280901e-04	5.41440137e-02	1.15625284e-04	3.23647748e-03	7.28302840e-03	1.42499166e-02	9.36684301e-03	9.32375431e-03	8.90179123e+02	9.58577347e+00	9.80667590e+01	7.26581766e-01	2.22361313e+00	2.53269551e+00	2.94351862e-01	1.61464387e+06	2.25028838e+02	2.22740638e+00	2.19106209e+00	7.60684937e-01	1.93920175e+00	3.86113333e+04	8.34021947e+01	4.61253041e+04	2.59605630e+04	2.20132766e-02	1.76115974e-03	3.44560382e-01	1.41832310e-02	8.92855680e+00	4.95960970e-01	4.05093147e+00	7.54488156e-02	3.55853400e+00	7.46621974e-01	4.10513314e+01	2.17172082e+01	9.85361514e+01	2.88077131e+01	5.08039811e+01	2.89766588e+00	5.62281168e-01
1.10689608e-03	4.12877400e-01	4.19737350e-04	5.79555085e-01	3.22335024e-04	2.45623547e-04	5.31656638e-01	1.29619355e-04	2.22621658e-03	5.22421161e+01	3.02656393e+00	4.53280901e-04	5.41440137e-02	1.34228449e-04	3.32464215e-03	7.46064669e-03	1.42499166e-02	9.36684301e-03	1.03960413e-02	9.92422765e+02	1.84486262e+01	9.80667590e+01	7.56832807e-01	2.24785541e+00	2.53269551e+00	2.78638052e-01	1.61464387e+06	2.25028838e+02	2.22740638e+00	2.19106209e+00	7.60684937e-01	1.91706890e+00	4.47752667e+04	6.34908473e+01	4.61253041e+04	4.10044418e+04	2.20132766e-02	1.76115974e-03	3.89851277e-01	1.41832310e-02	1.66167010e+01	4.95960970e-01	2.79071510e+00	7.54488156e-02	3.55853400e+00	7.46621974e-01	4.10513314e+01	1.94181987e+01	9.85361514e+01	2.88077131e+01	5.08039811e+01	2.89766588e+00	5.48150968e-01
1.11160002e-03	4.14942509e-01	4.27152080e-04	5.79555085e-01	3.22335024e-04	2.45623547e-04	5.31656638e-01	1.17178393e-04	2.22621658e-03	5.22421161e+01	3.02656393e+00	5.53667533e-04	4.70859463e-02	1.29795679e-04	3.26285457e-03	7.46064669e-03	1.42499166e-02	9.87443923e-03	8.54862510e-03	6.77071511e+02	1.93372416e+01	9.80667590e+01	6.89041326e-01	2.26710801e+00	3.01890397e+00	2.78638052e-01	1.61464387e+06	1.78629262e+02	2.22740638e+00	2.19106209e+00	6.75113808e-01	3.13434367e+00	4.69744064e+04	8.04452483e+01	4.61375509e+04	3.68328223e+04	2.20132766e-02	1.76115974e-03	3.37612285e-01	1.47877807e-02	9.55606135e+00	4.63196502e-01	2.79071510e+00	7.54488156e-02	3.55853400e+00	7.61004021e-01	5.12399636e+01	1.60713571e+01	9.56073485e+01	3.43901763e+01	4.82012474e+01	2.91604072e+00	5.37040750e-01
1.11160002e-03	4.20022650e-01	4.17701727e-04	6.12498932e-01	3.27397474e-04	3.49014915e-04	6.12228831e-01	1.17178393e-04	2.56361387e-03	5.22421161e+01	3.02656393e+00	5.53667533e-04	5.85588833e-02	1.29795679e-04	3.31749606e-03	7.46064669e-03	1.35879009e-02	9.92295723e-03	6.00996407e-03	4.15025970e+02	1.93372416e+01	9.80667590e+01	6.89041326e-01	2.27658208e+00	3.01890397e+00	5.16215642e-01	1.61464387e+06	2.11441540e+02	1.21453913e+00	2.19106209e+00	6.75113808e-01	3.13434367e+00	3.31418477e+04	8.04452483e+01	3.46796232e+04	3.68328223e+04	2.54187603e-02	1.76115974e-03	3.37612285e-01	1.80844495e-02	9.34871188e+00	4.63196502e-01	2.79071510e+00	7.10627089e-02	3.55853400e+00	7.61004021e-01	5.12399636e+01	1.60713571e+01	9.94757490e+01	3.83476393e+01	4.82188161e+01	2.61251045e+00	5.12112526e-01
