par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
2.19000000e-04	1.07038593e-01	3.71968278e-04	1.62251858e-01	1.43363273e-04	7.68000000e-06	1.77000000e-02	2.73087790e-05	5.30000000e-04	2.77561436e+02	2.25388479e+00	1.45814630e-04	1.17792001e-02	9.04500000e-05	1.04100000e-03	5.44123189e-03	6.64862268e-03	9.01446145e-03	1.40897566e-02	9.06697813e+02	1.42371594e+01	5.56385385e+01	4.29685911e-01	3.20000000e-01	1.17058692e+00	5.90634090e-01	8.79841922e+05	2.75419475e+02	4.20000000e-01	2.67663274e+00	6.34222380e-01	3.67929764e+00	3.52807163e+04	8.85003272e+01	4.40000000e+04	3.92531569e+04	1.25000000e-02	9.74615252e-04	6.25659222e-02	1.02144851e-02	6.56640681e+00	4.68000000e-01	7.80000000e-01	1.05034535e-01	3.82626704e+00	4.81514830e-01	4.40000000e+01	1.76376444e+01	2.64000000e+02	2.66250000e+00	5.31000000e+01	8.09155088e-01	8.78729264e-01
2.19000000e-04	1.07038593e-01	3.71968278e-04	1.62251858e-01	1.46874304e-04	7.68000000e-06	2.24143684e-02	2.74184492e-05	5.30000000e-04	2.77561436e+02	2.25388479e+00	1.45814630e-04	1.17792001e-02	1.32891432e-04	1.04100000e-03	5.19783723e-03	6.03246915e-03	8.78463190e-03	1.40897566e-02	7.08719157e+02	9.67677073e+00	6.81453054e+01	4.63541459e-01	3.66043523e-01	1.30204676e+00	6.02323156e-01	9.55832708e+05	2.75419475e+02	4.20000000e-01	2.30833980e+00	3.60730729e-01	3.67929764e+00	3.52807163e+04	7.57412356e+01	3.56748130e+04	3.92531569e+04	1.16693468e-02	9.74615252e-04	5.80822657e-02	8.49395605e-03	5.16985197e+00	4.35866275e-01	1.09838032e+00	1.05034535e-01	3.82626704e+00	6.69477815e-01	4.05944532e+01	1.76376444e+01	2.64000000e+02	2.66250000e+00	5.31000000e+01	8.09155088e-01	7.87648253e-01
2.19000000e-04	1.24151047e-01	3.71968278e-04	1.62251858e-01	1.46874304e-04	7.68000000e-06	2.24143684e-02	3.60133600e-05	6.96776616e-04	2.77561436e+02	1.66115949e+00	1.45814630e-04	1.18156396e-02	1.32891432e-04	1.04100000e-03	4.84982279e-03	6.03246915e-03	9.37794943e-03	1.33080631e-02	7.08719157e+02	1.22620992e+01	8.13890662e+01	3.69213959e-01	5.83635572e-01	1.13098101e+00	4.33646234e-01	9.55832708e+05	3.05734678e+02	4.20000000e-01	2.21501743e+00	4.15358898e-01	2.78606419e+00	3.31287183e+04	7.57412356e+01	5.19125196e+04	4.84772806e+04	1.16693468e-02	9.74615252e-04	1.06615348e-01	1.25045410e-02	6.80441534e+00	7.90033130e-01	1.88592320e+00	6.76793043e-02	3.69103055e+00	6.69477815e-01	4.05944532e+01	1.76376444e+01	2.64000000e+02	2.75876938e+00	5.31000000e+01	7.68769933e-01	7.17581356e-01
2.19000000e-04	1.24151047e-01	3.71968278e-04	1.62251858e-01	1.46874304e-04	7.68000000e-06	4.06959651e-02	4.82085205e-05	8.97256296e-04	2.77561436e+02	1.54933097e+00	1.41519072e-04	1.79783548e-02	1.76390484e-04	1.04100000e-03	4.97245881e-03	6.03246915e-03	9.37794943e-03	2.18477289e-02	7.83342317e+02	1.39116473e+01	9.90456979e+01	5.21271612e-01	6.69323342e-01	1.24071632e+00	2.73636704e-01	1.36591603e+06	2.25846206e+02	4.20000000e-01	2.06678253e+00	8.96572374e-01	2.78606419e+00	2.72686055e+04	7.57412356e+01	2.69261967e+04	4.14469372e+04	1.16693468e-02	9.74615252e-04	1.06615348e-01	7.12251512e-03	6.80441534e+00	1.01789489e+00	2.33789218e+00	4.33869550e-02	3.69103055e+00	8.82596523e-01	4.05944532e+01	1.76376444e+01	2.64000000e+02	4.23107245e+00	5.86914782e+01	7.68769933e-01	7.29535462e-01
2.65075157e-04	1.84750957e-01	3.71968278e-04	1.46216602e-01	6.36697137e-05	9.08312613e-06	4.57512217e-02	4.82085205e-05	8.97256296e-04	2.35790594e+02	1.22906110e+00	1.79423959e-04	1.79135687e-02	1.25864703e-04	9.41629005e-04	6.06892310e-03	6.03246915e-03	9.37794943e-03	2.40684668e-02	7.83342317e+02	1.42601411e+01	9.05953324e+01	5.21271612e-01	6.69323342e-01	1.32331094e+00	2.73636704e-01	1.08526915e+06	2.91849331e+02	6.05344078e-01	2.39041682e+00	8.96572374e-01	2.43975776e+00	2.72686055e+04	9.07131379e+01	4.22464733e+04	2.07349244e+04	1.16693468e-02	9.74615252e-04	1.06615348e-01	7.12251512e-03	6.80441534e+00	8.72446956e-01	2.33789218e+00	3.97091845e-02	3.69103055e+00	1.13984123e+00	4.05944532e+01	1.96833536e+01	3.24236568e+02	4.23107245e+00	5.86914782e+01	7.68769933e-01	5.66816432e-01
2.43048235e-04	1.63143667e-01	3.71968278e-04	1.46216602e-01	5.85118494e-05	9.08312613e-06	5.31044126e-02	4.82085205e-05	8.97256296e-04	2.17576533e+02	1.22906110e+00	1.75766627e-04	1.79135687e-02	1.25864703e-04	9.41629005e-04	5.06452322e-03	5.87052583e-03	9.37794943e-03	2.40684668e-02	7.83342317e+02	1.46589868e+01	9.05953324e+01	4.24707574e-01	6.69323342e-01	1.32331094e+00	2.73636704e-01	8.43979594e+05	2.91849331e+02	6.05344078e-01	2.39041682e+00	5.91868470e-01	2.25848054e+00	2.72686055e+04	9.58061621e+01	6.23815900e+04	2.07349244e+04	1.16693468e-02	1.52033528e-03	1.07575370e-01	5.63981287e-03	6.80441534e+00	6.99623049e-01	1.83995297e+00	3.96412552e-02	6.23947298e+00	1.13984123e+00	4.65032981e+01	1.96792393e+01	3.22967663e+02	4.23107245e+00	5.86914782e+01	7.68769933e-01	4.98803005e-01
2.43048235e-04	1.62886640e-01	3.71968278e-04	1.46216602e-01	6.13503595e-05	9.48283590e-06	9.43377008e-02	3.43112803e-05	8.97256296e-04	2.18115670e+02	1.16107126e+00	2.00870933e-04	1.79135687e-02	1.07974748e-04	9.41629005e-04	5.28413458e-03	5.87052583e-03	9.37794943e-03	2.40684668e-02	7.83342317e+02	1.46589868e+01	9.05953324e+01	4.24707574e-01	6.69323342e-01	1.32331094e+00	2.73636704e-01	1.01735881e+06	4.87418708e+02	5.23927592e-01	3.20631803e+00	4.33841328e-01	1.52005349e+00	2.07794985e+04	8.46827826e+01	4.74710956e+04	4.23630094e+04	1.40305138e-02	1.52033528e-03	1.07575370e-01	5.63981287e-03	6.80441534e+00	6.66559274e-01	1.72196439e+00	3.96412552e-02	7.43410048e+00	1.13984123e+00	4.60450397e+01	1.96792393e+01	9.59582442e+01	4.23107245e+00	5.86914782e+01	7.68769933e-01	6.02611444e-01
2.43048235e-04	1.62886640e-01	3.71968278e-04	1.58633424e-01	6.13503595e-05	9.48283590e-06	9.43377008e-02	3.43112803e-05	1.06699083e-03	2.18115670e+02	1.02228650e+00	2.00870933e-04	1.79135687e-02	1.07974748e-04	9.41629005e-04	6.28555384e-03	5.87052583e-03	9.37794943e-03	1.76458949e-02	4.90729733e+02	1.46589868e+01	9.05953324e+01	4.24707574e-01	7.10815710e-01	1.33580116e+00	2.75779063e-01	1.01735881e+06	4.92119688e+02	8.16517464e-01	3.20631803e+00	4.35715042e-01	1.52005349e+00	2.22088313e+04	8.46827826e+01	4.29080834e+04	4.23630094e+04	1.74090548e-02	1.52033528e-03	1.07575370e-01	5.63981287e-03	6.76509950e+00	8.98256320e-01	2.02663243e+00	5.03562026e-02	6.66217089e+00	1.13984123e+00	4.50289845e+01	1.98514598e+01	9.96372280e+01	4.23107245e+00	5.86914782e+01	7.68769933e-01	5.57037799e-01
2.57866837e-04	1.78312347e-01	3.71968278e-04	1.58633424e-01	6.13503595e-05	9.85727292e-06	1.30736302e-01	5.03870499e-05	1.06699083e-03	2.18115670e+02	1.00639946e+00	2.29367708e-04	1.79135687e-02	1.07974748e-04	9.41629005e-04	6.28555384e-03	7.72275362e-03	9.37794943e-03	1.76458949e-02	4.90729733e+02	1.86047276e+01	9.05953324e+01	3.37475117e-01	7.10815710e-01	1.33580116e+00	2.71255548e-01	7.07831822e+05	4.92119688e+02	8.16517464e-01	4.28039303e+00	3.65868331e-01	2.06189878e+00	2.22088313e+04	8.46827826e+01	4.29080834e+04	5.25019583e+04	1.67938532e-02	1.59992035e-03	1.00465713e-01	3.80343875e-03	2.27084432e+01	8.98256320e-01	2.25568023e+00	5.60301300e-02	5.38066636e+00	6.94918592e-01	4.50289845e+01	1.52653964e+01	5.10917408e+01	7.22806574e+00	8.40081960e+01	7.68769933e-01	5.54653497e-01
2.57866837e-04	1.78312347e-01	3.71315263e-04	1.58633424e-01	6.13503595e-05	1.18369207e-05	1.30736302e-01	5.03870499e-05	1.06699083e-03	2.18115670e+02	1.25441291e+00	2.12925818e-04	1.79135687e-02	1.12351013e-04	9.41629005e-04	5.63892783e-03	7.72275362e-03	9.69477592e-03	1.67690661e-02	4.90729733e+02	1.66244587e+01	9.27069875e+01	3.37475117e-01	6.96206282e-01	1.80813158e+00	2.51034166e-01	7.07831822e+05	4.92119688e+02	8.16517464e-01	4.28039303e+00	4.85513501e-01	2.06189878e+00	2.22088313e+04	8.46827826e+01	4.29080834e+04	5.07283643e+04	1.85825348e-02	1.59992035e-03	1.00465713e-01	5.65530354e-03	1.63074399e+01	8.98256320e-01	1.69884809e+00	6.23231978e-02	6.10135460e+00	6.70178318e-01	4.50289845e+01	1.52653964e+01	8.82222341e+01	6.28102847e+00	8.40081960e+01	7.68769933e-01	5.06028127e-01
