par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
2.19000000e-04	1.35332105e-01	4.40000000e-04	1.83300000e-01	1.24500000e-04	7.68000000e-06	1.80405072e-02	1.92000000e-05	9.15129057e-04	2.61948656e+02	1.96536416e+00	2.08939825e-04	1.00050000e-02	9.04500000e-05	1.04100000e-03	3.90000000e-03	9.75000000e-03	5.85000000e-03	1.46250000e-02	8.87192133e+02	1.65000000e+01	5.31000000e+01	6.39000000e-01	3.20000000e-01	9.52760067e-01	3.17183719e-01	5.80709232e+05	5.47161655e+02	4.20000000e-01	1.34790063e+00	2.67000000e-01	1.66773947e+00	4.93708162e+04	5.66038401e+01	2.89861890e+04	4.40000000e+04	1.25000000e-02	6.25000000e-04	3.90000000e-02	5.67578027e-03	4.68000000e+00	4.68000000e-01	7.80000000e-01	7.80000000e-02	4.68000000e+00	6.40028334e-01	4.40000000e+01	2.20000000e+01	2.64000000e+02	3.40758754e+00	5.31000000e+01	8.28274183e-01	8.61007087e-01
2.19000000e-04	1.35332105e-01	4.40000000e-04	1.83300000e-01	1.24500000e-04	7.68000000e-06	1.80405072e-02	1.95255566e-05	1.60661919e-03	2.61948656e+02	1.80787510e+00	2.30692782e-04	1.24009768e-02	9.04500000e-05	1.41024758e-03	3.46405436e-03	8.82383450e-03	7.74961041e-03	1.46250000e-02	8.87192133e+02	1.65000000e+01	5.75582956e+01	6.39000000e-01	3.81125871e-01	7.34980575e-01	3.17183719e-01	5.80709232e+05	5.47161655e+02	4.20000000e-01	1.34790063e+00	6.17937009e-01	1.60650558e+00	4.15937627e+04	6.71127053e+01	2.23090475e+04	3.82339197e+04	1.25000000e-02	6.25000000e-04	5.39678508e-02	8.74076584e-03	4.81592291e+00	4.89838186e-01	5.09063154e-01	1.07242192e-01	5.28714449e+00	6.89879375e-01	4.74650016e+01	2.20000000e+01	2.64000000e+02	4.83671010e+00	5.31000000e+01	8.28274183e-01	8.29927429e-01
2.19000000e-04	1.35332105e-01	4.40000000e-04	1.83300000e-01	1.24500000e-04	9.60674189e-06	2.64119650e-02	1.95255566e-05	1.90491525e-03	1.96030554e+02	1.80787510e+00	2.06135685e-04	1.24009768e-02	9.04500000e-05	1.33843791e-03	3.46405436e-03	1.03160321e-02	7.61323334e-03	1.89319761e-02	8.87192133e+02	1.57390208e+01	9.82038591e+01	4.68964368e-01	3.81125871e-01	7.16410926e-01	2.95511060e-01	5.50881057e+05	6.12018808e+02	3.86337440e-01	2.90886706e+00	6.17937009e-01	1.60650558e+00	5.99404307e+04	9.55605728e+01	2.23090475e+04	3.82339197e+04	1.43906031e-02	6.12166086e-04	5.47773918e-02	8.74076584e-03	4.81592291e+00	4.89838186e-01	6.07451606e-01	8.75574364e-02	5.44586706e+00	6.33746885e-01	3.01045959e+01	2.00092882e+01	2.64000000e+02	4.83671010e+00	5.31000000e+01	8.28274183e-01	8.02517906e-01
2.19000000e-04	1.35332105e-01	4.64408373e-04	1.83300000e-01	5.83983658e-05	9.60674189e-06	3.05347801e-02	1.95255566e-05	1.90491525e-03	1.96030554e+02	1.20613995e+00	2.38729258e-04	1.36345868e-02	1.03218695e-04	1.33843791e-03	2.89396229e-03	1.03160321e-02	9.40764921e-03	1.25743441e-02	6.19747907e+02	1.50014941e+01	6.64703129e+01	6.92312363e-01	3.41579525e-01	8.23291424e-01	2.86355887e-01	5.50881057e+05	5.50637474e+02	4.35508895e-01	2.01483908e+00	6.80058110e-01	1.61116572e+00	6.74486064e+04	8.93206919e+01	2.30469678e+04	3.82339197e+04	1.43906031e-02	6.12166086e-04	5.47773918e-02	8.46042039e-03	3.82465573e+00	4.56285404e-01	6.07451606e-01	8.75574364e-02	6.02003566e+00	6.01040488e-01	3.01045959e+01	1.23561147e+01	2.64000000e+02	4.88068028e+00	6.80550638e+01	8.28274183e-01	5.11758352e-01
2.19000000e-04	1.52467798e-01	4.64408373e-04	1.83300000e-01	5.83983658e-05	9.60674189e-06	3.05347801e-02	1.95255566e-05	2.41102110e-03	1.96030554e+02	1.36720982e+00	2.61779387e-04	1.51970947e-02	1.03218695e-04	1.33843791e-03	3.75817920e-03	1.18765684e-02	9.40764921e-03	1.25743441e-02	5.97033472e+02	1.02064446e+01	7.18465561e+01	6.63803384e-01	3.41579525e-01	8.23291424e-01	3.51686636e-01	5.54544466e+05	5.72877197e+02	4.35508895e-01	2.01483908e+00	6.80058110e-01	1.16036919e+00	4.01867128e+04	8.29012097e+01	2.94940440e+04	3.82339197e+04	1.43228490e-02	6.12166086e-04	7.01669559e-02	8.41726592e-03	4.36104132e+00	6.15947668e-01	6.07451606e-01	5.77191449e-02	2.94163240e+00	6.01040488e-01	4.76258072e+01	1.33348401e+01	2.91890750e+02	4.88068028e+00	6.40576379e+01	8.28274183e-01	5.63385266e-01
2.19000000e-04	1.52467798e-01	4.64408373e-04	1.83300000e-01	5.83983658e-05	2.68792529e-05	3.49555444e-02	1.95255566e-05	3.94875053e-03	1.96030554e+02	1.36720982e+00	2.61779387e-04	1.79792086e-02	1.04776775e-04	1.33843791e-03	3.75817920e-03	1.40362289e-02	9.40764921e-03	1.12976281e-02	5.13861148e+02	1.02064446e+01	9.68751631e+01	4.84833848e-01	3.41579525e-01	7.01305994e-01	4.03861762e-01	4.72006050e+05	5.47961209e+02	6.10931477e-01	2.01483908e+00	7.89039643e-01	1.10627227e+00	3.13405071e+04	6.63836938e+01	2.94940440e+04	3.82339197e+04	1.38847178e-02	7.65065648e-04	7.01669559e-02	8.41726592e-03	4.36104132e+00	6.15947668e-01	6.07451606e-01	5.46722692e-02	2.94163240e+00	5.24162731e-01	4.76258072e+01	1.95135153e+01	2.46539588e+02	4.88068028e+00	6.05975314e+01	8.28274183e-01	5.26272292e-01
2.19000000e-04	1.52467798e-01	4.64408373e-04	1.88474304e-01	5.92883222e-05	2.76015778e-05	3.74410807e-02	2.05711208e-05	3.94875053e-03	1.96030554e+02	1.68920566e+00	2.52513317e-04	1.79792086e-02	1.13378904e-04	1.33843791e-03	3.75817920e-03	2.38253926e-02	9.27462036e-03	1.12976281e-02	7.76507973e+02	9.00719155e+00	9.68751631e+01	4.84833848e-01	3.41579525e-01	7.03441948e-01	3.63365013e-01	4.72006050e+05	5.47961209e+02	6.10931477e-01	2.74731722e+00	8.92123535e-01	1.08282918e+00	3.30714994e+04	7.80096408e+01	2.37806033e+04	2.70067465e+04	1.58783502e-02	7.65065648e-04	9.57176726e-02	5.64503833e-03	4.39793071e+00	6.15947668e-01	6.07451606e-01	8.24871345e-02	3.78220802e+00	5.99428754e-01	3.54236406e+01	2.45428855e+01	2.46539588e+02	6.39836597e+00	9.97447773e+01	8.28274183e-01	5.04161344e-01
2.19000000e-04	1.52467798e-01	4.64408373e-04	1.88474304e-01	6.21610204e-05	2.64964369e-05	3.74410807e-02	2.05711208e-05	3.94875053e-03	1.96030554e+02	1.68920566e+00	2.33491935e-04	1.96844509e-02	1.13378904e-04	1.44990646e-03	4.20603669e-03	2.38253926e-02	9.27462036e-03	1.32196181e-02	8.64219880e+02	9.00719155e+00	9.68751631e+01	4.84833848e-01	3.41579525e-01	9.85131095e-01	3.21430773e-01	4.56698591e+05	5.35602703e+02	1.10080514e+00	2.74731722e+00	8.92123535e-01	1.21215477e+00	3.27338944e+04	5.15556672e+01	2.94423831e+04	2.63156120e+04	1.61665544e-02	7.65065648e-04	8.66649918e-02	5.64503833e-03	4.39793071e+00	6.15947668e-01	8.23889002e-01	7.37105307e-02	6.17953220e+00	5.99428754e-01	3.89298527e+01	1.90184889e+01	2.46539588e+02	7.80588803e+00	8.97779601e+01	8.28274183e-01	5.21042193e-01
2.19000000e-04	1.94939703e-01	4.61130024e-04	1.88474304e-01	6.21610204e-05	7.46743879e-05	3.74410807e-02	2.07500303e-05	3.94875053e-03	1.96030554e+02	1.72061502e+00	2.33491935e-04	1.96844509e-02	1.01997018e-04	1.41155719e-03	4.63106360e-03	1.49837066e-02	9.27462036e-03	8.74684903e-03	6.74410204e+02	1.89654958e+01	9.68751631e+01	5.69349931e-01	2.98563465e-01	1.17298028e+00	3.21430773e-01	5.14420725e+05	7.31766509e+02	1.10080514e+00	2.52433173e+00	5.40332055e-01	1.05602111e+00	4.51879803e+04	5.15556672e+01	2.54882504e+04	2.54192536e+04	1.33614911e-02	8.14542176e-04	9.94789057e-02	6.53152753e-03	6.07926631e+00	3.93849490e-01	8.23889002e-01	7.37105307e-02	7.91407819e+00	5.94665095e-01	2.63374032e+01	2.02590052e+01	2.46539588e+02	7.80588803e+00	8.97779601e+01	8.28274183e-01	4.53775606e-01
2.19000000e-04	1.89641086e-01	4.61130024e-04	1.88474304e-01	7.53679638e-05	7.46743879e-05	3.74410807e-02	2.07500303e-05	3.94875053e-03	1.96030554e+02	1.70846897e+00	2.33491935e-04	1.96844509e-02	8.59302501e-05	1.55598430e-03	5.11105086e-03	1.87830605e-02	9.27462036e-03	1.16009772e-02	9.35634150e+02	1.27365900e+01	9.06769998e+01	5.62107154e-01	3.13675610e-01	1.63524382e+00	3.63765623e-01	1.18953947e+06	7.31766509e+02	9.51542631e-01	1.90594980e+00	6.21937636e-01	1.05602111e+00	4.56483272e+04	7.84029685e+01	2.54882504e+04	2.54192536e+04	1.38156796e-02	8.45099694e-04	9.94789057e-02	6.57165579e-03	7.89734772e+00	3.99814365e-01	9.93856789e-01	7.36747384e-02	7.91407819e+00	5.94665095e-01	2.72554761e+01	1.90852505e+01	2.46539588e+02	7.80588803e+00	8.97779601e+01	8.93683055e-01	5.14969892e-01
