par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
7.87694302e-04	5.48907451e-01	6.67587534e-04	8.06328706e-01	1.35731991e-04	1.94540106e-04	4.35193743e-01	8.92660495e-05	5.97522182e-03	5.20686032e+01	1.77732039e+00	6.19030695e-04	6.23849527e-02	4.60258023e-05	3.80415295e-03	1.58014365e-02	2.15237942e-02	8.95434673e-03	8.76672006e-03	8.36479076e+02	5.57282185e+00	9.71554175e+01	7.58448170e-01	8.66852550e-01	3.24465779e+00	6.56533308e-01	5.59970034e+05	3.16705279e+02	1.76528437e+00	4.01245526e+00	5.03248833e-01	2.92604200e+00	3.39493646e+04	5.37727517e+01	4.69593770e+04	3.05709481e+04	2.12043862e-02	1.63246135e-03	1.34087096e-01	6.09180186e-03	1.31372910e+01	9.74569326e-01	1.37374310e+00	7.78031671e-02	4.34973777e+00	6.22894912e-01	3.88771262e+01	2.29811810e+01	9.02646421e+01	1.49144249e+01	6.86416705e+01	2.97842778e+00	3.60393190e-01
8.86392501e-04	6.14863504e-01	6.36552734e-04	7.70830763e-01	1.35351997e-04	1.94540106e-04	4.35193743e-01	8.82203974e-05	4.24817858e-03	5.60182501e+01	1.77732039e+00	5.77513599e-04	6.23849527e-02	4.60258023e-05	3.80415295e-03	1.81133897e-02	1.00942238e-02	9.79803952e-03	8.58730483e-03	8.36479076e+02	7.27179983e+00	9.71554175e+01	4.67984354e-01	8.05261787e-01	3.80294643e+00	6.56533308e-01	5.59970034e+05	6.25754107e+02	1.12871345e+00	2.06105044e+00	4.84757682e-01	4.00369142e+00	3.05971895e+04	5.49917229e+01	3.44494017e+04	3.05709481e+04	2.23074153e-02	1.63246135e-03	1.34087096e-01	3.60403001e-03	9.48228880e+00	9.74569326e-01	1.37374310e+00	7.78031671e-02	4.69536732e+00	4.14453115e-01	3.66714645e+01	2.29811810e+01	9.02646421e+01	1.49144249e+01	6.86416705e+01	2.92436806e+00	3.13470412e-01
8.71988848e-04	6.08720454e-01	6.25494301e-04	7.90686491e-01	1.35351997e-04	2.14374264e-04	7.19361417e-01	1.06023272e-04	4.24817858e-03	5.49027825e+01	2.31763846e+00	4.08356704e-04	6.24793122e-02	4.21976568e-05	3.48039257e-03	1.32343637e-02	1.26589008e-02	9.44931845e-03	8.58730483e-03	8.36479076e+02	1.41834398e+01	9.49524271e+01	4.42079826e-01	9.00846908e-01	3.57807905e+00	4.24702843e-01	1.45119761e+06	3.94766691e+02	1.12871345e+00	1.74886802e+00	6.73549087e-01	2.66344741e+00	5.00290085e+04	4.96471791e+01	3.44494017e+04	3.38874186e+04	2.23074153e-02	1.63246135e-03	1.34087096e-01	3.60403001e-03	1.08424014e+01	9.74569326e-01	1.29754158e+00	6.83685548e-02	6.75099025e+00	4.14453115e-01	3.66714645e+01	2.54085048e+01	3.01190193e+01	1.49144249e+01	6.86416705e+01	2.92436806e+00	3.81965054e-01
8.71988848e-04	6.08720454e-01	6.25494301e-04	8.18892732e-01	1.38658757e-04	2.25962601e-04	7.19361417e-01	1.06023272e-04	4.12466402e-03	5.40166544e+01	2.31763846e+00	5.82294125e-04	4.16877214e-02	4.75291894e-05	3.68987310e-03	1.32343637e-02	1.26589008e-02	9.44931845e-03	9.80301552e-03	8.36479076e+02	1.82346533e+01	9.49524271e+01	4.73956657e-01	9.00846908e-01	3.57807905e+00	4.24702843e-01	1.34403116e+06	3.94766691e+02	1.42753205e+00	1.74886802e+00	5.02330987e-01	2.66344741e+00	5.00290085e+04	5.72863799e+01	3.44494017e+04	2.84021658e+04	3.62723693e-02	1.63246135e-03	2.28522640e-01	3.60403001e-03	1.33565367e+01	6.00640661e-01	1.29754158e+00	4.45649808e-02	6.28640659e+00	4.14453115e-01	5.94865804e+01	2.96444325e+01	1.64355173e+02	1.96832977e+01	6.86416705e+01	2.92436806e+00	3.74615641e-01
8.61709236e-04	6.08720454e-01	5.58934954e-04	7.51115132e-01	1.38319582e-04	2.25962601e-04	9.65118166e-01	9.13269352e-05	4.12466402e-03	5.51318601e+01	3.17438551e+00	5.25194949e-04	4.16877214e-02	4.75291894e-05	3.76387210e-03	1.07461052e-02	1.26589008e-02	9.71265977e-03	9.80301552e-03	8.83855411e+02	1.82346533e+01	9.17390932e+01	4.73956657e-01	9.00846908e-01	4.26021873e+00	3.86639931e-01	7.87528020e+05	3.94766691e+02	1.37992587e+00	1.74886802e+00	5.02330987e-01	2.66344741e+00	5.00290085e+04	5.72863799e+01	5.78142397e+04	5.03134992e+04	3.62723693e-02	1.52311427e-03	2.28522640e-01	4.62240799e-03	1.33565367e+01	6.03326038e-01	1.26319238e+00	4.45649808e-02	4.23717974e+00	4.14453115e-01	3.07600866e+01	2.01863024e+01	1.64355173e+02	2.13332474e+01	6.13706203e+01	2.95765990e+00	3.86298356e-01
8.61709236e-04	6.08720454e-01	5.58934954e-04	7.72072357e-01	1.45596700e-04	2.25962601e-04	9.65118166e-01	9.13269352e-05	4.12466402e-03	5.51318601e+01	2.64993032e+00	7.43157483e-04	4.16877214e-02	4.75291894e-05	3.61739116e-03	1.07461052e-02	1.26589008e-02	9.95148606e-03	8.53952478e-03	8.56116993e+02	1.82346533e+01	9.17390932e+01	5.86317412e-01	9.00846908e-01	2.34691202e+00	3.07114512e-01	7.87528020e+05	3.94766691e+02	1.37992587e+00	3.46829009e+00	4.63868294e-01	2.66344741e+00	5.92689288e+04	6.21037828e+01	5.78142397e+04	3.45142715e+04	3.62723693e-02	1.52311427e-03	1.78809311e-01	4.62240799e-03	8.51839147e+00	3.37003880e-01	1.34107988e+00	7.22896015e-02	3.39995532e+00	8.98931216e-01	4.48238563e+01	1.33957897e+01	1.47327308e+02	2.34928695e+01	5.94642607e+01	2.99750150e+00	3.29351063e-01
8.61709236e-04	6.08720454e-01	5.58934954e-04	7.72072357e-01	1.56459604e-04	2.25962601e-04	8.41955540e-01	8.57864667e-05	4.12466402e-03	5.51318601e+01	2.64993032e+00	9.47045540e-04	4.25893314e-02	4.57729541e-05	3.83651280e-03	7.35692212e-03	1.26589008e-02	9.95148606e-03	8.53952478e-03	7.63761073e+02	1.82346533e+01	9.31182977e+01	5.86317412e-01	9.00846908e-01	2.34691202e+00	4.82819470e-01	1.07472898e+06	3.94766691e+02	1.37992587e+00	3.46829009e+00	4.63868294e-01	2.66344741e+00	2.78817192e+04	6.21037828e+01	2.46538751e+04	3.45142715e+04	2.08500037e-02	1.52311427e-03	1.37707218e-01	5.96806872e-03	8.51839147e+00	6.35929454e-01	8.13259519e-01	7.22896015e-02	3.52668046e+00	6.13028086e-01	4.02047163e+01	1.33957897e+01	1.47327308e+02	1.94145553e+01	5.94642607e+01	2.94811194e+00	3.59610608e-01
9.17096653e-04	6.91246529e-01	5.76445937e-04	7.72072357e-01	1.56459604e-04	2.25962601e-04	6.28251035e-01	9.38805163e-05	4.12466402e-03	5.71710914e+01	2.64993032e+00	1.54460832e-03	4.25893314e-02	4.22685787e-05	3.82527698e-03	7.35692212e-03	1.26589008e-02	9.75430217e-03	8.58816037e-03	5.01804698e+02	1.47895401e+01	8.86370923e+01	5.11769308e-01	8.97222094e-01	2.56196099e+00	5.65235381e-01	1.14490066e+06	3.94766691e+02	1.37992587e+00	3.46829009e+00	4.62032750e-01	2.66344741e+00	2.78817192e+04	6.21037828e+01	2.46538751e+04	3.20285692e+04	2.08500037e-02	1.52311427e-03	1.37707218e-01	5.96806872e-03	8.51839147e+00	3.53337993e-01	8.29168669e-01	8.95339654e-02	6.13122964e+00	6.13028086e-01	4.02047163e+01	1.48249885e+01	1.47327308e+02	1.91333893e+01	5.94642607e+01	2.92219508e+00	3.60061252e-01
9.17096653e-04	6.64606172e-01	5.76445937e-04	7.72072357e-01	1.51876052e-04	2.25962601e-04	6.28251035e-01	8.81155002e-05	4.12466402e-03	6.46803890e+01	2.64993032e+00	1.33096655e-03	4.25893314e-02	5.26645526e-05	4.02560414e-03	7.35692212e-03	1.26589008e-02	9.92916912e-03	7.91202642e-03	5.01804698e+02	1.67317188e+01	8.71501909e+01	7.38868196e-01	9.86243382e-01	2.61787107e+00	4.94759607e-01	1.02054466e+06	3.10326419e+02	1.03118669e+00	3.46829009e+00	5.69982161e-01	2.58763651e+00	2.78817192e+04	6.21037828e+01	2.97110376e+04	2.47106890e+04	2.08500037e-02	1.52311427e-03	1.37707218e-01	8.86794027e-03	8.51839147e+00	3.22855973e-01	8.29168669e-01	8.95339654e-02	4.45009715e+00	7.53799377e-01	6.58515978e+01	2.76153133e+01	2.12732395e+02	1.91333893e+01	6.13858188e+01	2.89200211e+00	3.67646762e-01
9.92167822e-04	6.64606172e-01	5.76445937e-04	7.72072357e-01	1.52316381e-04	3.92136514e-04	5.52858670e-01	1.01365149e-04	4.12466402e-03	6.46803890e+01	2.64993032e+00	1.33096655e-03	4.25893314e-02	5.00416240e-05	3.71612948e-03	7.35692212e-03	2.45020562e-02	9.67530865e-03	7.91202642e-03	4.89734973e+02	1.78035975e+01	8.71501909e+01	7.49566481e-01	9.86243382e-01	2.61787107e+00	5.14159087e-01	9.01205521e+05	2.94029775e+02	1.39893377e+00	3.46829009e+00	7.30598433e-01	2.58763651e+00	2.78817192e+04	8.19300467e+01	3.34934299e+04	2.21533665e+04	2.45790651e-02	1.52311427e-03	1.37707218e-01	8.86794027e-03	9.38626068e+00	2.46260934e-01	8.29168669e-01	9.50663731e-02	4.45009715e+00	6.21647203e-01	5.27603998e+01	3.62930296e+01	2.12732395e+02	1.91333893e+01	6.13858188e+01	2.84411318e+00	3.23357573e-01
