par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
1.02145048e-03	4.30534269e-01	4.55915040e-04	5.24289175e-01	2.54827437e-04	2.39977083e-04	6.54357525e-01	1.74082314e-04	4.50104632e-03	6.27747900e+01	3.09465179e+00	4.98847793e-04	6.37159068e-02	1.21836928e-04	3.95593873e-03	1.67278236e-02	2.10641325e-02	9.69710781e-03	1.19887214e-02	5.62247207e+02	1.76218610e+01	7.48958764e+01	8.30336904e-01	1.64325112e+00	3.14581159e+00	7.55268640e-01	7.98689742e+05	4.68516030e+02	2.11482741e+00	4.46238137e+00	4.28153388e-01	4.72973958e+00	5.00242091e+04	8.35087521e+01	5.13285216e+04	3.71066269e+04	3.17147339e-02	1.80871211e-03	1.90435982e-01	8.75978088e-03	8.97220646e+00	4.38717364e-01	2.16165858e+00	9.27180236e-02	4.02188568e+00	2.10337858e-01	6.60123822e+01	2.21412461e+01	8.23309914e+01	2.73392602e+01	4.78896001e+01	2.78243223e+00	6.28315052e-01
9.89206866e-04	3.83469135e-01	4.15147460e-04	5.10418707e-01	2.48656626e-04	2.39977083e-04	8.51715644e-01	1.69336572e-04	4.39466362e-03	6.17592323e+01	1.67775573e+00	4.98847793e-04	6.37159068e-02	1.21836928e-04	3.95593873e-03	7.48657366e-03	1.72215107e-02	9.69710781e-03	1.19887214e-02	5.48863235e+02	1.76218610e+01	7.94667329e+01	5.93060438e-01	1.64325112e+00	3.01341160e+00	6.79381669e-01	9.57684143e+05	6.40658251e+02	1.68618843e+00	3.78631306e+00	7.09574697e-01	2.88919933e+00	5.00242091e+04	8.35087521e+01	5.03601567e+04	3.71066269e+04	3.55092514e-02	1.80871211e-03	1.90435982e-01	8.75978088e-03	8.97220646e+00	5.76455088e-01	2.16165858e+00	1.03365354e-01	4.02188568e+00	2.10337858e-01	6.74510905e+01	2.21412461e+01	8.23309914e+01	2.84932696e+01	4.78896001e+01	2.78243223e+00	5.93047316e-01
9.89206866e-04	3.98047387e-01	4.26891830e-04	5.10418707e-01	2.48656626e-04	3.43714694e-04	5.12905920e-01	1.69336572e-04	4.39466362e-03	6.17592323e+01	1.67775573e+00	4.98847793e-04	6.86845485e-02	8.44282088e-05	3.76930337e-03	7.03057994e-03	1.81389102e-02	9.69710781e-03	1.19887214e-02	7.62477914e+02	1.76218610e+01	7.94667329e+01	5.93060438e-01	1.64325112e+00	3.01341160e+00	4.82499260e-01	9.72357896e+05	6.40658251e+02	1.68618843e+00	2.36676248e+00	9.06214701e-01	2.88919933e+00	7.65660922e+04	8.22825043e+01	5.03601567e+04	3.71066269e+04	3.55092514e-02	1.80871211e-03	1.90435982e-01	6.46753826e-03	6.99750822e+00	5.76455088e-01	2.16165858e+00	1.03365354e-01	4.02188568e+00	5.55067539e-01	5.00405971e+01	1.83125743e+01	8.23309914e+01	2.63810329e+01	4.78896001e+01	2.70691435e+00	5.38752483e-01
9.89206866e-04	4.51177344e-01	4.33848320e-04	5.10418707e-01	2.48656626e-04	1.61435271e-04	5.12905920e-01	1.56746687e-04	3.92428694e-03	6.17592323e+01	1.67775573e+00	4.74001402e-04	6.78372114e-02	1.04038682e-04	3.75561880e-03	8.38604434e-03	1.81389102e-02	9.69710781e-03	1.08474445e-02	8.25096194e+02	1.20165791e+01	7.94667329e+01	5.93060438e-01	1.64325112e+00	2.61249204e+00	3.64327482e-01	1.12209337e+06	4.25306324e+02	1.91666174e+00	2.06595903e+00	4.05636907e-01	2.88919933e+00	5.61939766e+04	5.25511422e+01	5.03601567e+04	3.42459263e+04	3.53422713e-02	1.63933406e-03	1.90435982e-01	6.46753826e-03	6.43887816e+00	3.77051292e-01	2.16165858e+00	1.16173839e-01	4.02188568e+00	5.57452633e-01	4.57957337e+01	1.79313593e+01	8.23309914e+01	2.94973541e+01	5.02773322e+01	2.75202460e+00	5.22258420e-01
1.00281671e-03	4.19424411e-01	4.05449787e-04	5.10418707e-01	2.48265247e-04	1.61435271e-04	4.74819282e-01	1.56746687e-04	4.67269492e-03	5.83247483e+01	1.67775573e+00	4.74001402e-04	5.36778524e-02	1.04038682e-04	3.64691733e-03	8.38604434e-03	1.77365710e-02	9.94624964e-03	1.08474445e-02	7.27422313e+02	1.20165791e+01	8.82659049e+01	5.93060438e-01	1.70380327e+00	2.61249204e+00	3.64327482e-01	1.12209337e+06	2.96292089e+02	1.91666174e+00	2.06595903e+00	2.71531014e-01	2.46849454e+00	8.17450145e+04	5.25511422e+01	5.03601567e+04	3.42459263e+04	2.18738634e-02	1.63933406e-03	2.32583077e-01	6.46753826e-03	6.43887816e+00	3.77051292e-01	2.24738481e+00	1.16173839e-01	4.02188568e+00	7.01035471e-01	4.18325139e+01	2.03265984e+01	8.54640406e+01	2.94973541e+01	5.02773322e+01	2.68780550e+00	5.97090694e-01
1.00281671e-03	4.19424411e-01	4.05449787e-04	5.19282722e-01	2.48265247e-04	2.38416553e-04	6.15973857e-01	1.56746687e-04	4.08766683e-03	5.83247483e+01	3.11918370e+00	4.74001402e-04	5.36778524e-02	1.04038682e-04	3.64691733e-03	8.38604434e-03	1.11044919e-02	9.91654291e-03	1.08474445e-02	7.27422313e+02	1.20165791e+01	9.48890339e+01	5.93060438e-01	1.70380327e+00	2.61249204e+00	3.64327482e-01	1.12209337e+06	3.56609130e+02	1.91666174e+00	1.88866877e+00	2.71531014e-01	2.26042319e+00	6.03346084e+04	7.13751353e+01	5.03601567e+04	3.42459263e+04	2.31704444e-02	1.63933406e-03	1.53689612e-01	6.46753826e-03	1.14368045e+01	6.30759933e-01	2.69003738e+00	1.16173839e-01	4.02188568e+00	7.01035471e-01	4.49899523e+01	2.03265984e+01	8.54640406e+01	3.09515124e+01	4.92258195e+01	2.68780550e+00	6.24284053e-01
9.82853337e-04	4.19424411e-01	4.00266946e-04	5.24435511e-01	2.49416925e-04	2.38416553e-04	6.15973857e-01	1.63298353e-04	3.58685049e-03	5.87361294e+01	3.11918370e+00	3.69330515e-04	6.15454875e-02	9.57306293e-05	3.44915875e-03	8.38604434e-03	1.55954541e-02	9.91654291e-03	1.08474445e-02	8.49684114e+02	1.61653089e+01	9.48890339e+01	9.18483088e-01	1.84940173e+00	2.58167180e+00	3.64327482e-01	1.12209337e+06	2.15514214e+02	1.60926698e+00	1.88866877e+00	4.32421250e-01	2.80423297e+00	6.03346084e+04	4.10685433e+01	5.36243242e+04	3.42459263e+04	2.31704444e-02	1.31207112e-03	1.47730884e-01	7.55325331e-03	1.13462071e+01	5.53524131e-01	2.69003738e+00	1.16173839e-01	4.22189428e+00	3.85345212e-01	4.49899523e+01	2.03265984e+01	8.20143207e+01	3.09515124e+01	4.46923791e+01	2.55815295e+00	5.48659829e-01
9.82853337e-04	4.19424411e-01	4.00266946e-04	5.30295147e-01	2.38678339e-04	2.38416553e-04	6.16462992e-01	1.47306748e-04	3.58685049e-03	6.10562073e+01	2.07759791e+00	3.93926025e-04	8.55220630e-02	9.57306293e-05	3.06369393e-03	7.99028910e-03	1.55954541e-02	9.18458993e-03	9.02102951e-03	8.49684114e+02	1.61653089e+01	8.53640064e+01	9.18483088e-01	1.90729127e+00	2.58167180e+00	3.49073398e-01	8.67478193e+05	2.07865639e+02	1.64010269e+00	1.73847761e+00	4.32421250e-01	2.80423297e+00	6.03346084e+04	5.90201356e+01	4.10855541e+04	4.40566392e+04	3.01671938e-02	1.63669581e-03	1.46123209e-01	5.85290789e-03	1.15920230e+01	3.24913471e-01	2.69003738e+00	1.16173839e-01	4.85552059e+00	5.41858961e-01	4.49899523e+01	2.03265984e+01	8.20143207e+01	3.09515124e+01	4.54193186e+01	2.82028070e+00	6.61147121e-01
9.94725687e-04	4.28615845e-01	4.00266946e-04	5.30295147e-01	2.32159610e-04	1.82929534e-04	4.09853212e-01	1.42268498e-04	3.58685049e-03	6.10562073e+01	2.07759791e+00	2.01766328e-04	8.54188569e-02	6.59708259e-05	3.06369393e-03	7.99028910e-03	2.06846908e-02	9.18647971e-03	9.02102951e-03	6.95449426e+02	1.41742191e+01	7.11101992e+01	9.18483088e-01	1.90729127e+00	2.58167180e+00	3.49073398e-01	6.08452211e+05	2.07865639e+02	1.28748424e+00	1.73847761e+00	4.32421250e-01	1.77231362e+00	6.03346084e+04	9.43954225e+01	4.05770667e+04	4.05241301e+04	3.93492327e-02	1.66022326e-03	1.46123209e-01	8.15602153e-03	1.15920230e+01	4.40404710e-01	3.26661609e+00	1.32374159e-01	4.85552059e+00	4.49789046e-01	3.43163992e+01	1.61280112e+01	1.17973997e+02	3.15245476e+01	4.22189438e+01	2.97057013e+00	5.50104218e-01
9.27517875e-04	4.57248837e-01	4.00266946e-04	5.01173699e-01	2.26812580e-04	3.36189153e-04	4.20594613e-01	1.42268498e-04	4.64721594e-03	5.47538417e+01	2.97368393e+00	2.99364001e-04	8.54188569e-02	6.59708259e-05	3.06369393e-03	1.24648785e-02	2.06846908e-02	9.89312414e-03	9.02102951e-03	6.95449426e+02	9.82245014e+00	7.11101992e+01	4.73119503e-01	1.90729127e+00	2.47109691e+00	3.49073398e-01	4.69132563e+05	2.07865639e+02	2.07095038e+00	1.94175013e+00	4.32421250e-01	3.42718852e+00	6.03346084e+04	7.79481843e+01	4.05770667e+04	3.83099865e+04	3.93492327e-02	1.32328735e-03	1.25482751e-01	8.15602153e-03	1.15920230e+01	4.40404710e-01	2.20718696e+00	1.32374159e-01	4.85552059e+00	4.49789046e-01	4.31638297e+01	2.04769119e+01	6.88983725e+01	3.27967065e+01	4.22189438e+01	2.79974672e+00	5.58690526e-01
