par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
6.25771039e-04	4.07062154e-01	5.83296752e-04	5.34152782e-01	1.40005011e-04	1.63989954e-04	5.67305454e-01	9.66204343e-05	2.67410959e-03	5.54533648e+01	3.18443940e+00	5.44999028e-04	7.09648532e-02	9.23145259e-05	4.62618488e-03	7.85923599e-03	8.31401009e-03	9.96639483e-03	5.07195945e-03	7.93189411e+02	7.39042749e+00	5.56076261e+01	7.24809850e-01	1.10367286e+00	3.26678369e+00	3.21465191e-01	4.67650711e+05	3.51042252e+02	1.25103511e+00	5.45318351e+00	7.04315831e-01	2.66556991e+00	3.41305575e+04	7.08261240e+01	3.13903520e+04	2.09768853e+04	3.53014413e-02	1.69418660e-03	2.21618589e-01	6.17303701e-03	1.32411061e+01	6.45417429e-01	2.19508788e+00	1.80623223e-01	7.37154318e+00	6.93165807e-01	7.86976781e+01	1.28850460e+01	6.32536422e+01	5.78086810e+01	3.86103941e+01	2.98618550e+00	4.35671523e-01
5.99169171e-04	3.57713960e-01	5.63529282e-04	5.34152782e-01	1.40005011e-04	1.63989954e-04	5.67305454e-01	9.66204343e-05	2.67410959e-03	5.54533648e+01	3.18443940e+00	5.44999028e-04	7.42399089e-02	9.23145259e-05	4.62618488e-03	5.44784519e-03	8.77025692e-03	9.96639483e-03	4.70319045e-03	8.39179329e+02	6.53137550e+00	6.87781630e+01	5.68265605e-01	1.02669258e+00	3.18160163e+00	3.17801105e-01	6.56951299e+05	2.69334687e+02	1.25103511e+00	5.45318351e+00	7.04315831e-01	3.03763315e+00	2.99250612e+04	9.63447441e+01	3.13903520e+04	2.85339103e+04	2.17823434e-02	1.74023255e-03	1.44811728e-01	9.00943341e-03	1.70731919e+01	6.45417429e-01	1.70658820e+00	1.99075385e-01	4.46159537e+00	6.93165807e-01	7.86976781e+01	1.28850460e+01	9.41213943e+01	6.34701637e+01	3.86103941e+01	2.98618550e+00	4.01526743e-01
6.02973393e-04	3.32267363e-01	5.25709779e-04	5.29528354e-01	1.40005011e-04	1.63989954e-04	8.55063068e-01	1.16770315e-04	2.67410959e-03	6.12210460e+01	3.18443940e+00	6.47435469e-04	4.81480147e-02	9.23145259e-05	4.62618488e-03	5.44784519e-03	8.77025692e-03	9.52466526e-03	4.42783623e-03	8.39179329e+02	6.66959809e+00	9.53746904e+01	8.16199448e-01	9.61082840e-01	3.56194250e+00	3.17801105e-01	6.56951299e+05	2.69334687e+02	1.18038176e+00	5.04941906e+00	4.89237497e-01	3.03763315e+00	6.94966651e+04	7.15287652e+01	3.13903520e+04	2.85339103e+04	3.36020480e-02	1.74023255e-03	1.01773489e-01	6.40688114e-03	1.56173795e+01	7.12657171e-01	1.64624307e+00	1.99075385e-01	5.79910113e+00	5.52543646e-01	3.06243926e+01	2.06256245e+01	9.41213943e+01	5.41744309e+01	4.24124073e+01	2.98618550e+00	4.20610115e-01
6.02973393e-04	3.32267363e-01	5.25709779e-04	5.04644341e-01	1.40005011e-04	1.70386414e-04	7.19382902e-01	1.27218075e-04	3.49615808e-03	6.33502309e+01	2.91057031e+00	6.70063140e-04	6.48450090e-02	1.10998223e-04	4.29688920e-03	5.44784519e-03	8.77025692e-03	9.45592399e-03	4.42783623e-03	8.48957240e+02	9.27007465e+00	8.47683390e+01	9.63691071e-01	1.03043915e+00	2.94088494e+00	2.50982422e-01	1.37392494e+06	3.84614222e+02	2.03454750e+00	4.12424136e+00	4.89237497e-01	3.03763315e+00	6.94966651e+04	7.67386173e+01	3.13903520e+04	2.87779617e+04	3.36020480e-02	1.69075929e-03	1.73894833e-01	6.40688114e-03	1.57322392e+01	7.03630803e-01	1.90969302e+00	1.67546618e-01	5.85738252e+00	5.52543646e-01	3.71428760e+01	2.06256245e+01	1.07651990e+02	4.92966182e+01	4.24124073e+01	2.98074244e+00	3.91603915e-01
6.02973393e-04	3.74382445e-01	5.34951675e-04	5.17115470e-01	1.45439355e-04	3.45530456e-04	7.19382902e-01	1.19515743e-04	3.49615808e-03	6.33502309e+01	2.21742508e+00	6.70063140e-04	5.71968512e-02	1.10998223e-04	4.56906781e-03	5.44784519e-03	1.10951732e-02	9.45592399e-03	4.42783623e-03	8.48957240e+02	1.08895734e+01	8.47683390e+01	7.13159054e-01	1.03043915e+00	3.42075715e+00	4.23212649e-01	1.72697694e+06	7.00269646e+02	2.03454750e+00	3.45889777e+00	4.89237497e-01	3.03763315e+00	2.92494582e+04	9.41022954e+01	3.96281095e+04	2.87779617e+04	3.36020480e-02	1.69075929e-03	1.73894833e-01	6.02671669e-03	1.57322392e+01	6.92160686e-01	1.90969302e+00	1.44986421e-01	2.47435248e+00	4.35181553e-01	5.21699907e+01	2.41880664e+01	1.07651990e+02	4.92966182e+01	4.24124073e+01	2.98074244e+00	4.68888856e-01
5.52274216e-04	3.74382445e-01	5.44273859e-04	5.07554299e-01	1.45439355e-04	2.98159712e-04	4.40802566e-01	8.84887088e-05	4.45179061e-03	6.33502309e+01	2.21742508e+00	6.70063140e-04	8.54419680e-02	1.19095632e-04	4.56906781e-03	5.44784519e-03	1.36343498e-02	9.45592399e-03	4.42783623e-03	8.48957240e+02	1.08895734e+01	7.22798299e+01	5.98294940e-01	1.03043915e+00	2.95191933e+00	7.37816554e-01	7.28665785e+05	7.00269646e+02	1.32805649e+00	3.45889777e+00	3.47438326e-01	3.03763315e+00	2.92494582e+04	8.69589791e+01	3.77169298e+04	3.44393499e+04	3.36020480e-02	1.69075929e-03	1.48617299e-01	6.02671669e-03	1.45467249e+01	6.92160686e-01	2.73393045e+00	1.54047817e-01	2.17361454e+00	4.35181553e-01	3.28185843e+01	2.41880664e+01	8.52934955e+01	4.92966182e+01	4.62929333e+01	2.98074244e+00	4.74959915e-01
5.52274216e-04	4.04207105e-01	5.44273859e-04	5.07554299e-01	1.45439355e-04	2.98159712e-04	4.40802566e-01	1.08470876e-04	4.45179061e-03	6.02698463e+01	2.21742508e+00	6.70063140e-04	5.60174444e-02	7.92714047e-05	4.56906781e-03	5.58443568e-03	1.36343498e-02	8.43999415e-03	5.43128701e-03	8.48957240e+02	1.08895734e+01	7.22798299e+01	5.43011335e-01	1.03043915e+00	3.59400816e+00	3.62620029e-01	9.38206850e+05	5.95202921e+02	1.32805649e+00	2.86915408e+00	4.43510651e-01	3.03763315e+00	2.07259742e+04	8.95664051e+01	3.77169298e+04	2.98344504e+04	2.23278341e-02	1.72241577e-03	1.48617299e-01	6.02671669e-03	1.94873164e+01	6.92160686e-01	3.09034618e+00	1.49959698e-01	3.89437435e+00	5.19182131e-01	4.31960046e+01	2.41880664e+01	8.52934955e+01	4.92966182e+01	4.80903527e+01	2.98074244e+00	4.42664567e-01
5.49449748e-04	4.04207105e-01	5.80299539e-04	5.05804237e-01	1.45439355e-04	2.37468079e-04	6.61715865e-01	1.67094809e-04	3.60725452e-03	6.40208379e+01	2.21742508e+00	5.66969225e-04	5.27154362e-02	7.92714047e-05	4.56906781e-03	5.58443568e-03	1.36343498e-02	9.13009554e-03	5.57210293e-03	8.67544951e+02	1.08895734e+01	7.95260098e+01	9.16624590e-01	1.24291477e+00	3.42305483e+00	3.62620029e-01	9.38206850e+05	6.27474658e+02	2.10626480e+00	3.58581839e+00	8.85491099e-01	1.73869897e+00	2.07259742e+04	8.23744307e+01	3.16163181e+04	2.68834618e+04	3.48633933e-02	1.72241577e-03	1.48617299e-01	6.97347263e-03	8.88503878e+00	6.92160686e-01	1.95892989e+00	1.44267196e-01	3.89437435e+00	6.60482754e-01	4.63257438e+01	2.00592378e+01	8.52934955e+01	4.67141241e+01	4.44939355e+01	2.98074244e+00	3.70823924e-01
5.56368704e-04	4.22756589e-01	6.10408408e-04	5.21002245e-01	1.45439355e-04	2.37468079e-04	5.74084882e-01	1.67094809e-04	3.07471308e-03	6.40208379e+01	2.29927929e+00	3.58929566e-04	5.27154362e-02	7.62831364e-05	4.56906781e-03	1.15643484e-02	1.36343498e-02	8.68822951e-03	6.94262070e-03	8.67544951e+02	1.08895734e+01	8.04005510e+01	8.85423123e-01	8.65280086e-01	3.07359187e+00	3.62620029e-01	7.65634788e+05	7.10787486e+02	1.44830523e+00	3.50890527e+00	8.85491099e-01	1.73869897e+00	2.07259742e+04	9.48248066e+01	3.16163181e+04	2.68834618e+04	3.48633933e-02	1.72241577e-03	2.41611383e-01	1.66646621e-02	7.15461967e+00	6.92160686e-01	2.08234975e+00	1.44267196e-01	3.89437435e+00	6.60482754e-01	5.96939194e+01	1.86021350e+01	8.52934955e+01	4.98196138e+01	3.91490493e+01	2.98385177e+00	4.84081868e-01
5.56368704e-04	4.22756589e-01	6.10408408e-04	5.21002245e-01	1.45902732e-04	2.37468079e-04	8.65139829e-01	1.82837547e-04	3.07471308e-03	6.40208379e+01	3.68568970e+00	3.58929566e-04	5.46601193e-02	7.35687896e-05	5.41952270e-03	1.15643484e-02	1.96745858e-02	9.07665393e-03	6.94262070e-03	7.70431657e+02	1.72945790e+01	9.00676196e+01	8.85423123e-01	9.82595500e-01	3.07359187e+00	3.21828703e-01	7.65634788e+05	5.78290288e+02	1.44830523e+00	5.76352021e+00	9.65515261e-01	1.73869897e+00	2.23127766e+04	9.96730678e+01	3.12540372e+04	2.95225278e+04	3.48633933e-02	1.68708070e-03	3.00681869e-01	1.66646621e-02	9.48805164e+00	5.60519270e-01	2.08234975e+00	1.48400596e-01	3.89437435e+00	7.04025397e-01	5.96939194e+01	4.75622242e+01	8.52934955e+01	4.98196138e+01	3.91490493e+01	2.98385177e+00	4.40452351e-01
5.40031225e-04	4.22756589e-01	6.10408408e-04	5.21002245e-01	1.45902732e-04	3.14193629e-04	8.40254496e-01	1.82837547e-04	3.07471308e-03	6.40208379e+01	3.68568970e+00	3.58929566e-04	5.46601193e-02	7.35687896e-05	5.41952270e-03	1.15643484e-02	1.96745858e-02	9.07665393e-03	7.90842055e-03	7.70431657e+02	1.62673513e+01	9.00676196e+01	8.85423123e-01	1.00886469e+00	2.30625718e+00	3.21828703e-01	7.71807957e+05	7.57252311e+02	1.44830523e+00	4.36852766e+00	9.65515261e-01	1.44418873e+00	6.08871183e+04	9.14066883e+01	2.57214432e+04	2.19845558e+04	3.48633933e-02	1.57132393e-03	3.00681869e-01	1.58104638e-02	6.04195640e+00	5.60519270e-01	1.46537012e+00	1.48400596e-01	3.89437435e+00	7.04025397e-01	5.96939194e+01	3.33592032e+01	8.52934955e+01	4.83494701e+01	3.04648027e+01	2.93506283e+00	4.77895604e-01
5.33294475e-04	4.27738524e-01	6.06382113e-04	5.39772374e-01	1.33445539e-04	3.14193629e-04	8.40254496e-01	1.35250972e-04	4.15085768e-03	6.63670249e+01	3.68568970e+00	3.86175390e-04	7.63707964e-02	1.03501893e-04	5.41952270e-03	1.61760082e-02	1.98286361e-02	9.79383480e-03	7.90842055e-03	7.11510692e+02	1.20985266e+01	8.93113810e+01	7.53400463e-01	6.18873270e-01	2.30625718e+00	3.21828703e-01	7.04653143e+05	7.57252311e+02	1.93511249e+00	4.36852766e+00	9.72324121e-01	1.24408256e+00	5.24296249e+04	9.14066883e+01	2.59641222e+04	2.41963565e+04	3.23253394e-02	1.55717194e-03	1.38205999e-01	1.58104638e-02	6.04195640e+00	5.60519270e-01	1.46537012e+00	1.44458110e-01	3.89437435e+00	7.04025397e-01	6.12772824e+01	3.95154922e+01	8.52934955e+01	4.83494701e+01	2.98350259e+01	2.93506283e+00	4.30554646e-01
5.35882733e-04	4.27863769e-01	6.06382113e-04	5.39772374e-01	1.35216784e-04	2.21644504e-04	9.32853779e-01	1.35250972e-04	3.94971237e-03	5.73828261e+01	3.68568970e+00	5.04894742e-04	7.73907271e-02	1.03501893e-04	5.18401558e-03	1.96900358e-02	1.98286361e-02	9.79383480e-03	7.25603773e-03	7.11510692e+02	1.20985266e+01	8.93113810e+01	6.45725715e-01	8.40651752e-01	2.30625718e+00	4.85911700e-01	8.35911606e+05	7.57252311e+02	1.93099917e+00	4.36852766e+00	8.52661424e-01	1.13032503e+00	3.88217769e+04	6.83195434e+01	2.59641222e+04	2.13514358e+04	3.23253394e-02	1.55717194e-03	2.70161093e-01	1.29281586e-02	6.04195640e+00	5.60519270e-01	3.06007564e+00	1.44458110e-01	3.89437435e+00	7.04025397e-01	6.12772824e+01	3.83148754e+01	6.08068972e+01	4.83494701e+01	2.97747579e+01	2.93506283e+00	4.28700824e-01
