par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
7.82657547e-04	4.65894031e-01	4.32246430e-04	4.04429818e-01	2.77438852e-04	1.79330900e-04	4.37656006e-01	1.81685174e-04	3.11028985e-03	5.91926048e+01	2.51825678e+00	6.46739161e-04	6.43880046e-02	1.14644496e-04	2.95893698e-03	7.74290142e-03	1.56252505e-02	9.45797392e-03	7.20385151e-03	9.34416014e+02	1.00525677e+01	9.49224758e+01	1.31283706e+00	2.95947340e+00	1.78795392e+00	3.16984148e-01	1.09599654e+06	9.97351714e+02	2.22457259e+00	3.14005859e+00	7.12995762e-01	4.29374644e+00	6.24096284e+04	8.26779970e+01	2.38216020e+04	2.81557632e+04	3.16187700e-02	1.59469257e-03	1.30113212e-01	7.39212253e-03	1.30209489e+01	2.56331521e-01	3.16598872e+00	3.24770211e-02	2.72904603e+00	8.20934744e-01	2.64434322e+01	1.09644370e+01	1.97387950e+02	3.91036535e+01	3.39427375e+01	2.97286502e+00	4.82682129e-01
7.82657547e-04	4.65894031e-01	4.48017773e-04	4.04429818e-01	2.77438852e-04	1.79330900e-04	4.37294371e-01	1.81685174e-04	2.82473866e-03	5.91926048e+01	1.63285378e+00	6.46739161e-04	9.57933627e-02	1.28173203e-04	3.85919283e-03	8.92691388e-03	2.06094424e-02	9.78532749e-03	8.06843449e-03	9.34416014e+02	1.43460265e+01	9.08387223e+01	1.24497353e+00	2.95947340e+00	1.67780830e+00	3.16984148e-01	1.16651652e+06	7.16420171e+02	2.22457259e+00	3.85333806e+00	4.04130893e-01	2.95869710e+00	6.24096284e+04	8.26779970e+01	2.28100254e+04	2.81557632e+04	3.14308699e-02	1.59469257e-03	1.30113212e-01	6.13970232e-03	1.30209489e+01	4.42734452e-01	3.16598872e+00	2.88721073e-02	2.40211475e+00	8.20934744e-01	6.89269230e+01	2.42287696e+01	1.97387950e+02	3.19688912e+01	3.97520776e+01	2.97286502e+00	5.11543660e-01
7.82657547e-04	4.74901210e-01	4.53497916e-04	3.94385939e-01	2.59572951e-04	1.89891007e-04	4.37294371e-01	1.54093357e-04	2.99357959e-03	5.43154825e+01	1.63285378e+00	9.18799622e-04	9.10402942e-02	1.23168525e-04	2.76497552e-03	1.09194256e-02	2.06094424e-02	9.78532749e-03	7.54542335e-03	9.34416014e+02	1.43460265e+01	9.08387223e+01	7.54707850e-01	2.57024293e+00	1.94292264e+00	3.16984148e-01	1.00215757e+06	6.27320829e+02	9.86013738e-01	2.79363388e+00	6.94405396e-01	2.12360917e+00	3.46132184e+04	8.26779970e+01	2.28100254e+04	2.52820728e+04	3.16111904e-02	1.45846402e-03	1.77093814e-01	1.12320820e-02	1.30209489e+01	6.71036371e-01	3.16598872e+00	2.88721073e-02	2.45429207e+00	4.45364999e-01	3.73349048e+01	1.53806691e+01	1.19047760e+02	3.19688912e+01	4.08185367e+01	2.97286502e+00	4.79168635e-01
7.89164417e-04	4.74901210e-01	4.29850285e-04	3.94385939e-01	2.59572951e-04	1.89891007e-04	4.37294371e-01	1.54093357e-04	2.63160551e-03	6.61693704e+01	1.63285378e+00	9.18799622e-04	7.88178388e-02	1.13821627e-04	2.76497552e-03	1.32437651e-02	2.06094424e-02	9.82158906e-03	7.54542335e-03	8.08830620e+02	7.92816049e+00	9.45746217e+01	7.54707850e-01	2.57024293e+00	1.94292264e+00	3.16984148e-01	1.02672059e+06	5.25781005e+02	1.22853247e+00	2.79363388e+00	4.67290362e-01	3.30513457e+00	4.61758263e+04	9.02066158e+01	2.81366359e+04	2.52820728e+04	1.74374546e-02	1.48876519e-03	1.77093814e-01	1.12320820e-02	1.30209489e+01	5.71756900e-01	3.16598872e+00	5.00063580e-02	2.45429207e+00	4.45364999e-01	3.73349048e+01	1.53806691e+01	1.19047760e+02	3.19688912e+01	4.08185367e+01	2.93748606e+00	5.97260111e-01
7.89164417e-04	4.74901210e-01	4.29850285e-04	3.96073634e-01	2.59572951e-04	1.89891007e-04	5.95645181e-01	1.54093357e-04	3.44519591e-03	6.61693704e+01	1.63285378e+00	7.18097368e-04	7.02349890e-02	1.31152255e-04	2.76497552e-03	1.01851209e-02	2.06094424e-02	9.82158906e-03	7.54542335e-03	8.08830620e+02	9.98565327e+00	7.86826312e+01	6.22893797e-01	2.46197677e+00	1.71494828e+00	3.16984148e-01	1.41937412e+06	5.25781005e+02	1.22853247e+00	2.79363388e+00	6.81916689e-01	3.78696714e+00	4.61758263e+04	9.02066158e+01	2.58180367e+04	2.66047215e+04	1.74374546e-02	1.48876519e-03	1.77093814e-01	1.12320820e-02	1.22083089e+01	6.50978173e-01	3.16598872e+00	6.23571844e-02	2.45429207e+00	2.68629212e-01	4.00944213e+01	7.84807569e+00	6.91775991e+01	2.83379752e+01	4.08185367e+01	2.90624761e+00	6.13189609e-01
7.73332848e-04	4.46140027e-01	4.00257806e-04	3.96175479e-01	2.74584810e-04	1.89891007e-04	6.75316181e-01	1.59484984e-04	3.44519591e-03	6.61693704e+01	1.63285378e+00	8.82140163e-04	7.02349890e-02	1.10965406e-04	2.76497552e-03	1.32191130e-02	2.06094424e-02	9.08185856e-03	7.85158594e-03	6.79683951e+02	1.15664470e+01	7.90595955e+01	6.22893797e-01	2.46197677e+00	1.73075943e+00	3.16984148e-01	1.18144746e+06	5.25781005e+02	1.32901951e+00	2.06252671e+00	6.19219125e-01	3.78696714e+00	7.72341083e+04	6.53583624e+01	3.57048814e+04	2.66047215e+04	1.72577836e-02	1.48876519e-03	1.77093814e-01	1.12320820e-02	1.30904220e+01	4.01626292e-01	3.16598872e+00	9.91496666e-02	4.67131084e+00	4.92574495e-01	4.75177851e+01	6.07141160e+00	6.91775991e+01	2.83379752e+01	4.18117509e+01	2.80291679e+00	4.96595083e-01
7.73332848e-04	4.07534030e-01	4.00257806e-04	3.98101295e-01	2.74584810e-04	1.89891007e-04	6.01901430e-01	1.57195973e-04	3.44519591e-03	6.61693704e+01	1.97760297e+00	6.75584615e-04	7.02349890e-02	1.10965406e-04	2.76497552e-03	1.32191130e-02	2.06094424e-02	9.22760181e-03	8.07409651e-03	7.01567271e+02	1.13925789e+01	8.49217756e+01	6.03479986e-01	2.19365946e+00	1.73075943e+00	4.19586960e-01	9.16877532e+05	5.25082878e+02	1.32901951e+00	3.80018593e+00	9.08765739e-01	3.78696714e+00	7.72341083e+04	6.53583624e+01	3.18563585e+04	2.66047215e+04	1.72577836e-02	1.48273311e-03	1.77093814e-01	1.04810189e-02	1.30904220e+01	4.01626292e-01	4.98315747e+00	1.16188585e-01	6.14735851e+00	5.70391959e-01	4.79372839e+01	1.07008826e+01	9.09338434e+01	2.83379752e+01	4.71965128e+01	2.80418623e+00	4.48147464e-01
7.73332848e-04	4.07534030e-01	4.00257806e-04	3.98101295e-01	2.74584810e-04	2.83852910e-04	6.01901430e-01	1.46231647e-04	2.99640789e-03	6.61693704e+01	1.96633517e+00	5.97999600e-04	8.40923612e-02	1.20191432e-04	2.59995640e-03	1.64299799e-02	1.83855297e-02	9.91603158e-03	8.52348325e-03	7.01567271e+02	1.13925789e+01	8.76577164e+01	6.03479986e-01	2.00468760e+00	2.02747165e+00	4.19586960e-01	9.16877532e+05	5.25082878e+02	1.32901951e+00	3.80018593e+00	5.43158536e-01	3.78696714e+00	7.72341083e+04	6.53583624e+01	3.41888119e+04	2.66047215e+04	1.72577836e-02	1.48273311e-03	2.09744120e-01	7.47464066e-03	1.30904220e+01	3.25827785e-01	2.24091460e+00	1.03192005e-01	4.32450462e+00	5.70391959e-01	7.41894866e+01	1.07008826e+01	9.56985397e+01	2.83379752e+01	4.71965128e+01	2.86491794e+00	5.41843616e-01
7.60419691e-04	4.07534030e-01	4.00257806e-04	3.90035398e-01	2.94053117e-04	2.83852910e-04	6.01901430e-01	1.62732863e-04	2.99640789e-03	6.26337679e+01	2.09352125e+00	5.14078566e-04	8.05472259e-02	1.20191432e-04	2.59995640e-03	1.45040909e-02	1.83855297e-02	9.91603158e-03	8.52348325e-03	4.36853472e+02	1.32148345e+01	8.37113829e+01	4.62305490e-01	2.00468760e+00	2.02747165e+00	4.19586960e-01	1.10556678e+06	5.25082878e+02	1.86372455e+00	3.80018593e+00	6.38140787e-01	2.56850542e+00	5.23457775e+04	9.19548873e+01	3.41888119e+04	2.66047215e+04	1.89878251e-02	1.55402806e-03	1.25689552e-01	7.47464066e-03	1.30904220e+01	7.01982462e-01	2.02858222e+00	1.03192005e-01	4.32450462e+00	5.70391959e-01	6.34104327e+01	1.07008826e+01	9.56985397e+01	2.83379752e+01	4.71965128e+01	2.85724894e+00	4.44320384e-01
7.60419691e-04	4.07534030e-01	4.00257806e-04	3.90035398e-01	2.94053117e-04	2.83852910e-04	4.73447014e-01	1.62732863e-04	3.18167490e-03	5.80079722e+01	2.54064320e+00	5.14078566e-04	8.05472259e-02	1.37472338e-04	2.59995640e-03	9.12352778e-03	1.83855297e-02	9.91603158e-03	8.41126988e-03	5.56545776e+02	1.48704397e+01	9.42108176e+01	4.62305490e-01	2.00468760e+00	1.84602536e+00	4.19586960e-01	1.10556678e+06	2.42300955e+02	2.06003618e+00	3.80018593e+00	6.38140787e-01	1.72166759e+00	4.26861411e+04	9.19548873e+01	3.41888119e+04	5.84550593e+04	1.77872484e-02	1.18769992e-03	2.01594063e-01	7.47464066e-03	2.48623580e+01	7.01982462e-01	2.02858222e+00	7.65452729e-02	4.38274877e+00	8.32473739e-01	6.34104327e+01	1.07008826e+01	6.43579778e+01	2.83379752e+01	4.80872560e+01	2.85724894e+00	4.63615165e-01
7.43744913e-04	4.07534030e-01	4.00257806e-04	3.92125251e-01	2.92907283e-04	2.83852910e-04	4.73447014e-01	1.62732863e-04	3.18167490e-03	5.45362268e+01	3.15219447e+00	5.14078566e-04	8.05472259e-02	1.37472338e-04	2.59995640e-03	1.14716694e-02	2.17017035e-02	9.91603158e-03	7.28903585e-03	5.56545776e+02	1.42577714e+01	9.42108176e+01	9.94331675e-01	2.00468760e+00	1.72148664e+00	4.91092472e-01	1.10556678e+06	2.09475942e+02	2.06003618e+00	3.80018593e+00	6.50516834e-01	1.65486036e+00	4.26861411e+04	9.19548873e+01	5.25883683e+04	5.84550593e+04	2.32941310e-02	1.18769992e-03	1.29746986e-01	7.47464066e-03	2.48623580e+01	7.01982462e-01	2.02858222e+00	5.57368144e-02	5.82649416e+00	5.47836490e-01	2.61262243e+01	1.07008826e+01	6.43579778e+01	3.28476896e+01	4.95318175e+01	2.91115088e+00	4.65912485e-01
7.60238125e-04	4.07534030e-01	3.65667240e-04	3.92125251e-01	2.82683365e-04	2.83852910e-04	7.76469064e-01	1.62732863e-04	3.62892681e-03	5.78973459e+01	3.15219447e+00	5.14078566e-04	8.05472259e-02	1.58684702e-04	3.72024712e-03	8.76183977e-03	2.65038987e-02	9.69443729e-03	7.28903585e-03	5.56545776e+02	1.42577714e+01	9.42108176e+01	5.87884483e-01	1.95293133e+00	1.88204973e+00	6.06672320e-01	7.73303393e+05	2.09475942e+02	2.06003618e+00	3.80018593e+00	6.50516834e-01	1.65486036e+00	3.20729549e+04	6.71112372e+01	5.40991701e+04	5.84550593e+04	2.32941310e-02	1.18769992e-03	1.29746986e-01	7.47464066e-03	2.50818855e+01	7.01982462e-01	2.02858222e+00	5.57368144e-02	5.69414639e+00	7.44721755e-01	3.60706554e+01	1.75409931e+01	6.03772145e+01	3.28476896e+01	5.02563694e+01	2.94486609e+00	4.56877737e-01
7.60238125e-04	4.07534030e-01	3.65667240e-04	3.92125251e-01	2.82683365e-04	2.83852910e-04	5.14619728e-01	1.67640615e-04	3.49653679e-03	5.78973459e+01	3.15219447e+00	5.14078566e-04	7.90782007e-02	1.49709055e-04	3.72024712e-03	1.23263834e-02	1.39607429e-02	9.27401503e-03	6.55456951e-03	6.43360203e+02	1.42577714e+01	9.42108176e+01	5.87884483e-01	2.13629716e+00	1.88204973e+00	5.72417765e-01	8.26842806e+05	3.54411722e+02	2.16115623e+00	3.80018593e+00	4.88266077e-01	2.12019541e+00	2.85299393e+04	8.90873581e+01	5.40991701e+04	5.84550593e+04	1.86038143e-02	1.31297730e-03	2.20335093e-01	7.32156132e-03	2.81072877e+01	7.01982462e-01	1.60241136e+00	6.43862742e-02	5.69414639e+00	7.44721755e-01	3.60706554e+01	2.55663567e+01	8.55021246e+01	3.33855312e+01	4.73717167e+01	2.94486609e+00	5.30731682e-01
