par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
6.42639939e-04	3.37352010e-01	4.31298558e-04	4.32646794e-01	3.09650115e-04	2.36251500e-04	7.55700292e-01	1.39937839e-04	2.46522708e-03	6.14995354e+01	2.54107995e+00	6.57933105e-04	3.24003557e-02	4.32488629e-05	2.45895551e-03	1.05646995e-02	1.18483145e-02	9.83503533e-03	9.33946759e-03	9.35371885e+02	7.82710228e+00	9.24810260e+01	7.31433660e-01	2.29182275e+00	2.09721293e+00	4.83553051e-01	8.12732051e+05	6.32243000e+02	1.38475762e+00	2.44902882e+00	6.59630807e-01	3.20630660e+00	2.71613635e+04	8.84588264e+01	4.51017088e+04	3.60940811e+04	3.29779968e-02	1.57299844e-03	1.67291203e-01	1.06583643e-02	1.70783905e+01	5.72534721e-01	1.86903137e+00	7.77450446e-02	6.15484881e+00	4.85362092e-01	3.62907659e+01	2.68889383e+01	6.97639725e+01	1.89835210e+01	5.22792488e+01	2.98997899e+00	4.46775566e-01
6.42639939e-04	3.64781374e-01	4.46947697e-04	4.32646794e-01	3.09650115e-04	2.36251500e-04	7.55700292e-01	1.39937839e-04	2.46522708e-03	6.14995354e+01	2.54107995e+00	5.07629667e-04	2.94140119e-02	3.99672514e-05	2.45895551e-03	5.78108392e-03	1.33787755e-02	9.83503533e-03	8.65159790e-03	9.35371885e+02	7.82710228e+00	8.36919897e+01	1.22335510e+00	2.29182275e+00	1.86329078e+00	4.83553051e-01	8.12732051e+05	3.21768739e+02	1.38475762e+00	2.44902882e+00	5.34608412e-01	2.50815460e+00	4.60917311e+04	7.46319844e+01	4.51017088e+04	3.60940811e+04	3.44909477e-02	1.41981399e-03	2.55505682e-01	9.46315643e-03	1.70783905e+01	5.72534721e-01	1.93174652e+00	9.33669471e-02	7.28079867e+00	6.36191944e-01	3.62907659e+01	2.53570997e+01	1.15418811e+02	2.13530187e+01	5.19073582e+01	2.98997899e+00	4.82044601e-01
6.51454116e-04	3.94884088e-01	4.46947697e-04	4.32646794e-01	2.93061788e-04	2.36251500e-04	6.35547540e-01	1.31776021e-04	2.27338414e-03	6.14995354e+01	2.54107995e+00	5.07629667e-04	2.86294421e-02	3.99672514e-05	2.45895551e-03	1.25624366e-02	1.23926555e-02	9.83503533e-03	8.65159790e-03	6.33540967e+02	7.82710228e+00	9.84690850e+01	1.26520683e+00	2.29182275e+00	2.45881284e+00	4.83553051e-01	8.12732051e+05	3.21768739e+02	1.80277545e+00	1.77347357e+00	5.34608412e-01	2.50815460e+00	4.45410554e+04	7.46319844e+01	4.51017088e+04	3.42583669e+04	3.21526409e-02	1.12606276e-03	2.83431860e-01	4.48833629e-03	1.70783905e+01	6.33724287e-01	1.93174652e+00	6.11050668e-02	5.35588201e+00	4.80286254e-01	4.66547260e+01	2.53570997e+01	7.89696172e+01	2.07069407e+01	5.19073582e+01	2.90524759e+00	4.82059875e-01
5.78764318e-04	3.94884088e-01	4.46947697e-04	4.32646794e-01	2.93061788e-04	2.36251500e-04	6.35547540e-01	1.30374282e-04	2.27338414e-03	6.14995354e+01	2.54107995e+00	4.81548669e-04	2.86294421e-02	3.99672514e-05	2.45895551e-03	8.92991904e-03	1.40361639e-02	9.71866561e-03	6.59206064e-03	7.97469841e+02	7.82710228e+00	7.95071607e+01	1.08467568e+00	2.29182275e+00	3.32070563e+00	4.35096477e-01	1.35705202e+06	3.21768739e+02	2.29294551e+00	1.77347357e+00	6.88281715e-01	2.68475898e+00	3.44672609e+04	7.24316763e+01	4.51017088e+04	3.35422221e+04	3.51683277e-02	1.12463808e-03	2.96354950e-01	3.70221423e-03	1.70783905e+01	4.78583005e-01	1.93174652e+00	5.26728648e-02	3.74068849e+00	6.12814267e-01	4.66547260e+01	2.53570997e+01	7.89696172e+01	2.07069407e+01	5.19073582e+01	2.90524759e+00	4.77798225e-01
5.78764318e-04	3.38621053e-01	4.46947697e-04	4.32646794e-01	2.75971570e-04	2.36251500e-04	6.35547540e-01	1.30374282e-04	2.36178890e-03	5.86694869e+01	2.54107995e+00	3.28332227e-04	2.86294421e-02	4.23548922e-05	2.46960473e-03	1.51328949e-02	1.59679673e-02	9.43307735e-03	6.59206064e-03	7.97469841e+02	1.50680154e+01	9.95478097e+01	1.08467568e+00	2.29182275e+00	1.59045241e+00	2.98483143e-01	1.19760616e+06	3.21768739e+02	2.29294551e+00	2.98097616e+00	6.92060502e-01	1.56998692e+00	3.44672609e+04	4.37208970e+01	2.95049512e+04	3.66556610e+04	3.44475330e-02	1.31784073e-03	1.62534680e-01	3.70221423e-03	1.80131965e+01	4.78583005e-01	1.93174652e+00	5.26728648e-02	3.74068849e+00	6.69833562e-01	4.66547260e+01	2.29262682e+01	9.27021448e+01	1.95310305e+01	5.19073582e+01	2.91568667e+00	4.75301707e-01
6.13790400e-04	3.25693006e-01	4.46947697e-04	4.31285600e-01	2.75971570e-04	2.36251500e-04	6.86909692e-01	1.30374282e-04	2.52688479e-03	5.38371402e+01	2.64670724e+00	5.50610525e-04	3.48488577e-02	3.95389779e-05	2.55278551e-03	1.91694997e-02	1.59679673e-02	9.68155475e-03	9.30132792e-03	7.97469841e+02	1.18826983e+01	8.58632859e+01	1.08467568e+00	1.97687333e+00	1.87914748e+00	2.48100194e-01	9.14399256e+05	3.21768739e+02	2.29294551e+00	3.73936618e+00	5.12864755e-01	2.93661096e+00	3.91199823e+04	4.59688274e+01	2.95049512e+04	3.66556610e+04	3.44475330e-02	1.31784073e-03	1.91389599e-01	3.70221423e-03	1.80131965e+01	4.45465573e-01	1.93174652e+00	3.26455966e-02	3.74068849e+00	5.08442682e-01	7.52898420e+01	2.29262682e+01	9.27021448e+01	1.95310305e+01	5.59505065e+01	2.80700853e+00	4.11486268e-01
6.13790400e-04	3.00810021e-01	4.41919413e-04	4.31285600e-01	2.75971570e-04	3.40892827e-04	5.94162808e-01	1.30374282e-04	2.91524724e-03	5.38371402e+01	2.64670724e+00	5.50610525e-04	3.49547489e-02	3.95389779e-05	2.69716878e-03	1.39726388e-02	1.59679673e-02	9.79848785e-03	8.73929895e-03	8.87436752e+02	1.36842205e+01	8.58632859e+01	9.87291952e-01	1.97687333e+00	1.87914748e+00	3.97143096e-01	9.14399256e+05	3.21768739e+02	2.58482754e+00	3.73936618e+00	8.41290467e-01	2.23574614e+00	3.91812407e+04	5.25709485e+01	3.97686017e+04	3.72348363e+04	3.17498418e-02	1.43400336e-03	1.91389599e-01	3.70221423e-03	1.80131965e+01	7.54493498e-01	1.93174652e+00	3.26455966e-02	3.74068849e+00	4.78998487e-01	7.52898420e+01	1.38833417e+01	6.09853635e+01	1.95310305e+01	5.64325295e+01	2.80700853e+00	4.74802839e-01
6.13790400e-04	2.93435965e-01	4.34914351e-04	4.31285600e-01	2.75971570e-04	4.13661364e-04	5.94162808e-01	1.22601333e-04	2.83526327e-03	5.38371402e+01	2.64670724e+00	5.50610525e-04	4.59008797e-02	3.95389779e-05	2.69716878e-03	1.45579558e-02	1.09646114e-02	9.79848785e-03	9.20965591e-03	8.87436752e+02	1.36842205e+01	8.58632859e+01	9.87291952e-01	2.25469207e+00	1.87914748e+00	3.97143096e-01	9.14399256e+05	3.21768739e+02	2.58482754e+00	2.09782990e+00	8.41290467e-01	2.18104033e+00	3.91812407e+04	5.00449484e+01	3.83629502e+04	4.41781526e+04	3.34565478e-02	1.43400336e-03	1.91389599e-01	9.95099885e-03	1.14456434e+01	7.54493498e-01	1.97687801e+00	3.26455966e-02	3.74068849e+00	7.59655307e-01	7.80223195e+01	1.38833417e+01	8.52215137e+01	2.04827017e+01	5.40002841e+01	2.89133488e+00	5.06519596e-01
6.13790400e-04	2.88990036e-01	4.34914351e-04	4.31503724e-01	2.93427346e-04	4.91040415e-04	7.18557659e-01	1.22601333e-04	2.83526327e-03	5.38371402e+01	2.64670724e+00	6.99395962e-04	4.69452123e-02	3.95649687e-05	2.69716878e-03	1.00729854e-02	1.09646114e-02	9.79848785e-03	9.20965591e-03	8.87436752e+02	1.86161642e+01	9.00232044e+01	6.97595382e-01	2.25469207e+00	2.30154528e+00	6.44449738e-01	1.35231014e+06	3.21768739e+02	1.36748786e+00	2.09782990e+00	8.41290467e-01	2.18104033e+00	3.91812407e+04	5.83682598e+01	3.83629502e+04	4.41781526e+04	2.82142001e-02	1.43400336e-03	1.91389599e-01	1.12649955e-02	1.14456434e+01	6.27654246e-01	1.59922733e+00	3.26455966e-02	4.79986367e+00	7.59655307e-01	3.80894763e+01	1.71735647e+01	8.52215137e+01	2.01861244e+01	5.38627462e+01	2.88888481e+00	5.11425704e-01
5.56467841e-04	2.88990036e-01	4.36533652e-04	4.30339124e-01	2.98748608e-04	4.91040415e-04	7.18557659e-01	1.22601333e-04	2.83526327e-03	5.44916487e+01	2.64670724e+00	5.08855167e-04	4.33584535e-02	4.33157494e-05	2.69716878e-03	1.00729854e-02	1.09646114e-02	9.22992092e-03	9.20965591e-03	8.87436752e+02	1.86161642e+01	9.00232044e+01	6.97595382e-01	2.25469207e+00	2.30154528e+00	6.44449738e-01	6.86001376e+05	3.21768739e+02	7.52092929e-01	2.09782990e+00	5.33159614e-01	1.69765649e+00	3.44452262e+04	7.14536780e+01	3.83629502e+04	3.22965335e+04	1.85087815e-02	1.25048413e-03	1.91389599e-01	7.45050391e-03	1.14456434e+01	5.64694442e-01	1.59922733e+00	3.76455876e-02	4.79986367e+00	7.59655307e-01	5.63060812e+01	1.71735647e+01	7.46778137e+01	2.01861244e+01	5.79665695e+01	2.97371669e+00	4.73861281e-01
